Date,daily runoff
2025-01-01,1.3156822
2025-01-02,1.3162855
2025-01-03,1.2941753
2025-01-04,1.2882482
2025-01-05,1.3058422
2025-01-06,1.3103108
2025-01-07,1.2691847
2025-01-08,1.2736565
2025-01-09,1.2668896
2025-01-10,1.2381784
2025-01-11,1.2265255
2025-01-12,1.2393572
2025-01-13,1.2400978
2025-01-14,1.1963274
2025-01-15,1.1992683
2025-01-16,1.1920923
2025-01-17,1.164082
2025-01-18,1.1542088
2025-01-19,1.1698484
2025-01-20,1.1743578
2025-01-21,1.135235
2025-01-22,1.1436063
2025-01-23,1.1425376
2025-01-24,1.1211969
2025-01-25,1.1184351
2025-01-26,1.1415054
2025-01-27,1.1536404
2025-01-28,1.1222165
2025-01-29,1.1382426
2025-01-30,1.1446732
2025-01-31,1.1305737
2025-02-01,1.1347017
2025-02-02,1.1642281
2025-02-03,1.1823158
2025-02-04,1.1562841
2025-02-05,1.1770977
2025-02-06,1.1876804
2025-02-07,1.1770794
2025-02-08,1.1840472
2025-02-09,1.2157613
2025-02-10,1.2354017
2025-02-11,1.2103153
2025-02-12,1.2315029
2025-02-13,1.2419314
2025-02-14,1.2306983
2025-02-15,1.2366103
2025-02-16,1.2669032
2025-02-17,1.2848175
2025-02-18,1.2577614
2025-02-19,1.2767972
2025-02-20,1.2849525
2025-02-21,1.2713828
2025-02-22,1.2749501
2025-02-23,1.302942
2025-02-24,1.3186466
2025-02-25,1.2895143
2025-02-26,1.3066444
2025-02-27,1.313096
2025-02-28,1.2980491
2025-03-01,1.3003848
2025-03-02,1.3274019
2025-03-03,1.3423933
2025-03-04,1.3128073
2025-03-05,1.3297336
2025-03-06,1.3362141
2025-03-07,1.3214048
2025-03-08,1.3241554
2025-03-09,1.3517264
2025-03-10,1.3673654
2025-03-11,1.3384689
2025-03-12,1.3560693
2025-03-13,1.3631456
2025-03-14,1.3487871
2025-03-15,1.3517724
2025-03-16,1.3792895
2025-03-17,1.3945118
2025-03-18,1.364763
2025-03-19,1.3810039
2025-03-20,1.3861462
2025-03-21,1.3692175
2025-03-22,1.3689421
2025-03-23,1.3924634
2025-03-24,1.4029219
2025-03-25,1.3676205
2025-03-26,1.3775151
2025-03-27,1.3755282
2025-03-28,1.350716
2025-03-29,1.34185
2025-03-30,1.3561394
2025-03-31,1.35681
2025-04-01,1.3112687
2025-04-02,1.3105935
2025-04-03,1.2978464
2025-04-04,1.2622373
2025-04-05,1.242705
2025-04-06,1.2466353
2025-04-07,1.2374383
2025-04-08,1.182708
2025-04-09,1.1737092
2025-04-10,1.1536852
2025-04-11,1.1120192
2025-04-12,1.0878086
2025-04-13,1.0885813
2025-04-14,1.0778661
2025-04-15,1.0233505
2025-04-16,1.0163628
2025-04-17,1.0001781
2025-04-18,0.9641751
2025-04-19,0.9474111
2025-04-20,0.9573355
2025-04-21,0.9573611
2025-04-22,0.91502243
2025-04-23,0.92145956
2025-04-24,0.9197263
2025-04-25,0.89895165
2025-04-26,0.897918
2025-04-27,0.92378014
2025-04-28,0.93964326
2025-04-29,0.9127268
2025-04-30,0.9338556
2025-05-01,0.9457752
2025-05-02,0.9373207
2025-05-03,0.9470024
2025-05-04,0.9817321
2025-05-05,1.0044067
2025-05-06,0.9820796
2025-05-07,1.0054562
2025-05-08,1.0172142
2025-05-09,1.006175
2025-05-10,1.0108927
2025-05-11,1.0383799
2025-05-12,1.0516922
2025-05-13,1.0180964
2025-05-14,1.0285641
2025-05-15,1.026086
2025-05-16,0.9998393
2025-05-17,0.9887675
2025-05-18,1.0003002
2025-05-19,0.99792683
2025-05-20,0.94935685
2025-05-21,0.946002
2025-05-22,0.9312814
2025-05-23,0.8947774
2025-05-24,0.87580645
2025-05-25,0.88212854
2025-05-26,0.87751305
2025-05-27,0.82989043
2025-05-28,0.83082813
2025-05-29,0.8238307
2025-05-30,0.79849195
2025-05-31,0.79406387
2025-06-01,0.81816614
2025-06-02,0.83435357
2025-06-03,0.8102712
2025-06-04,0.8371356
2025-06-05,0.8580423
2025-06-06,0.8621259
2025-06-07,0.88813955
2025-06-08,0.94317514
2025-06-09,0.9902431
2025-06-10,0.99643975
2025-06-11,1.0524428
2025-06-12,1.1008301
2025-06-13,1.1302544
2025-06-14,1.1790342
2025-06-15,1.2538856
2025-06-16,1.317512
2025-06-17,1.3367809
2025-06-18,1.4022256
2025-06-19,1.4563704
2025-06-20,1.4879067
2025-06-21,1.5352868
