Date,Discharge
2017-01-01,1737.331
2017-01-02,1762.4625
2017-01-03,1742.8428
2017-01-04,1744.2421
2017-01-05,1722.6849
2017-01-06,1695.5332
2017-01-07,1692.2754
2017-01-08,1708.4347
2017-01-09,1724.6217
2017-01-10,1696.5461
2017-01-11,1690.1707
2017-01-12,1661.6979
2017-01-13,1628.649
2017-01-14,1620.6506
2017-01-15,1633.3373
2017-01-16,1647.403
2017-01-17,1618.6111
2017-01-18,1612.9457
2017-01-19,1586.5997
2017-01-20,1557.0533
2017-01-21,1553.8622
2017-01-22,1572.5614
2017-01-23,1593.7207
2017-01-24,1572.9563
2017-01-25,1576.087
2017-01-26,1559.1261
2017-01-27,1539.3634
2017-01-28,1546.1586
2017-01-29,1574.8503
2017-01-30,1605.8145
2017-01-31,1594.4813
2017-02-01,1606.4954
2017-02-02,1597.711
2017-02-03,1585.2777
2017-02-04,1598.4355
2017-02-05,1632.4275
2017-02-06,1667.5581
2017-02-07,1659.213
2017-02-08,1673.0173
2017-02-09,1664.8328
2017-02-10,1651.8406
2017-02-11,1663.3375
2017-02-12,1694.6447
2017-02-13,1726.1647
2017-02-14,1713.3984
2017-02-15,1722.1013
2017-02-16,1708.2762
2017-02-17,1689.2548
2017-02-18,1694.488
2017-02-19,1719.454
2017-02-20,1744.7106
2017-02-21,1725.9102
2017-02-22,1728.9519
2017-02-23,1709.9728
2017-02-24,1686.426
2017-02-25,1687.8699
2017-02-26,1709.8738
2017-02-27,1733.0687
2017-02-28,1713.1608
2017-03-01,1716.0834
2017-03-02,1697.9866
2017-03-03,1676.316
2017-03-04,1680.6014
2017-03-05,1706.3623
2017-03-06,1734.1602
2017-03-07,1719.6117
2017-03-08,1728.5427
2017-03-09,1716.9785
2017-03-10,1702.2247
2017-03-11,1713.657
2017-03-12,1746.6293
2017-03-13,1781.5283
2017-03-14,1773.7893
2017-03-15,1789.052
2017-03-16,1783.1548
2017-03-17,1773.218
2017-03-18,1788.4375
2017-03-19,1823.9957
2017-03-20,1860.1195
2017-03-21,1852.1
2017-03-22,1865.4518
2017-03-23,1855.9103
2017-03-24,1840.5184
2017-03-25,1848.4231
2017-03-26,1874.7892
2017-03-27,1899.8597
2017-03-28,1878.9778
2017-03-29,1877.7461
2017-03-30,1852.0266
2017-03-31,1819.026
2017-04-01,1808.0924
2017-04-02,1814.6274
2017-04-03,1819.1437
2017-04-04,1777.2838
2017-04-05,1754.9774
2017-04-06,1708.433
2017-04-07,1655.2203
2017-04-08,1625.06
2017-04-09,1613.7281
2017-04-10,1602.1075
2017-04-11,1546.198
2017-04-12,1512.2655
2017-04-13,1456.8268
2017-04-14,1397.723
2017-04-15,1364.9021
2017-04-16,1354.3164
2017-04-17,1346.9681
2017-04-18,1298.9133
