Date,weekly runoff
2017-01-01,8.413594
2017-01-02,8.449271
2017-01-03,8.480207
2017-01-04,8.500587
2017-01-05,8.525015
2017-01-06,8.538826
2017-01-07,8.54587
2017-01-08,8.546552
2017-01-09,8.539171
2017-01-10,8.524186
2017-01-11,8.496873
2017-01-12,8.472972
2017-01-13,8.43898
2017-01-14,8.399899
2017-01-15,8.357239
2017-01-16,8.310344
2017-01-17,8.260614
2017-01-18,8.204155
2017-01-19,8.157395
2017-01-20,8.107367
2017-01-21,8.059438
2017-01-22,8.015313
2017-01-23,7.9743543
2017-01-24,7.9378023
2017-01-25,7.901435
2017-01-26,7.8811965
2017-01-27,7.8634896
2017-01-28,7.8529224
2017-01-29,7.850342
2017-01-30,7.8541603
2017-01-31,7.864615
2017-02-01,7.876446
2017-02-02,7.9045506
2017-02-03,7.9343038
2017-02-04,7.9693294
2017-02-05,8.009549
2017-02-06,8.052542
2017-02-07,8.097812
2017-02-08,8.1394825
2017-02-09,8.19197
2017-02-10,8.2403
2017-02-11,8.287895
2017-02-12,8.334619
2017-02-13,8.378132
2017-02-14,8.418159
2017-02-15,8.449172
2017-02-16,8.486051
2017-02-17,8.514389
2017-02-18,8.538263
2017-02-19,8.558261
2017-02-20,8.57282
2017-02-21,8.582474
2017-02-22,8.582518
2017-02-23,8.58865
2017-02-24,8.587261
2017-02-25,8.583182
2017-02-26,8.577704
2017-02-27,8.569894
2017-02-28,8.560839
2017-03-01,8.54629
2017-03-02,8.542307
2017-03-03,8.535532
2017-03-04,8.530941
2017-03-05,8.529857
2017-03-06,8.531267
2017-03-07,8.536072
2017-03-08,8.539729
2017-03-09,8.557903
2017-03-10,8.576752
2017-03-11,8.6006775
2017-03-12,8.630359
2017-03-13,8.664071
2017-03-14,8.701948
2017-03-15,8.738642
2017-03-16,8.788979
2017-03-17,8.8382635
2017-03-18,8.890043
2017-03-19,8.94415
2017-03-20,8.998038
2017-03-21,9.051057
2017-03-22,9.097127
2017-03-23,9.15041
2017-03-24,9.195622
2017-03-25,9.235816
2017-03-26,9.27043
2017-03-27,9.296645
2017-03-28,9.313661
2017-03-29,9.31538
2017-03-30,9.316093
2017-03-31,9.300796
2017-04-01,9.272968
2017-04-02,9.232633
2017-04-03,9.177708
2017-04-04,9.108281
2017-04-05,9.019288
2017-04-06,8.926185
2017-04-07,8.815253
2017-04-08,8.691367
2017-04-09,8.556031
2017-04-10,8.408708
2017-04-11,8.251068
2017-04-12,8.07965
2017-04-13,7.9114876
2017-04-14,7.7343984
2017-04-15,7.5547137
2017-04-16,7.375277
2017-04-17,7.1967525
2017-04-18,7.021834
2017-04-19,6.8478746
2017-04-20,6.6924973
2017-04-21,6.5438476
2017-04-22,6.4083095
2017-04-23,6.2884917
2017-04-24,6.184521
2017-04-25,6.0982533
2017-04-26,6.0259023
2017-04-27,5.9836617
2017-04-28,5.957974
